"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\CameraController.cs", "C#", 35, 2, 7, 44
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\Enemy.cs", "C#", 16, 2, 5, 23
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\GameController.cs", "C#", 14, 0, 5, 19
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\InGame\GameProgressButtonView.cs", "C#", 17, 1, 2, 20
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\InGame\GameProgressModel.cs", "C#", 26, 3, 6, 35
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\InGame\GameProgressPresenter.cs", "C#", 48, 1, 5, 54
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\InGame\GameProgressStatusChange.cs", "C#", 17, 0, 4, 21
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\InGame\Obstacles\FireCollision.cs", "C#", 21, 1, 4, 26
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\InGame\Obstacles\WaterObjectCollision.cs", "C#", 15, 0, 3, 18
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\InGame\Obstacles\WaterParticleCollision.cs", "C#", 23, 1, 4, 28
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\InfinityScroll.cs", "C#", 37, 1, 8, 46
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\Player\Player.cs", "C#", 97, 8, 16, 121
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\Player\PlayerState.cs", "C#", 137, 14, 20, 171
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\SoundManager.cs", "C#", 55, 2, 13, 70
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\StartCanvasController.cs", "C#", 61, 10, 18, 89
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\UI\MenuButton.cs", "C#", 14, 1, 2, 17
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\Utils\BaseButton.cs", "C#", 23, 5, 5, 33
"c:\Users\yae\Projects\Unity\unity-minigame\Assets\Scripts\Utils\ReloadScene.cs", "C#", 15, 0, 2, 17
"Total", "-", 671, 52, 129, 852
